;SICA 1;EPSG:3116_X;EPSG:3116_Y;EPSG:4326_X;EPSG:4326_Y
148;6617001207;825253.9919;1026439.297;-75.65264594;4.833462525
149;6617001065;820940.9538;1031980.59;-75.69163199;4.883461214
150;6617000366;825644.906;1030268.986;-75.64920326;4.86808964
151;6617001133;819857.0145;1028105.756;-75.70131652;4.84841152
152;6617001025;825033.6767;1022784.996;-75.65455519;4.800424466
153;6617000958;826157.8009;1023704.46;-75.64444453;4.808759439
154;6617001185;826350.9674;1026654.355;-75.64276491;4.835429479
155;6617000866;824834.0889;1025489.254;-75.65641006;4.824865716
156;6617000282;820485.8;1030835.894;-75.69570907;4.873103958
157;6617000242;820873.6301;1029259.413;-75.69218001;4.858861878
158;6617000957;826547.8437;1023620.315;-75.64092801;4.808006873
159;6617001313;825913.2062;1022447.623;-75.64662266;4.797393006
160;6617000852;825930.1214;1025777.345;-75.64653919;4.827492853
161;6617000738;825746.5271;1026765.139;-75.64821421;4.836418317
162;6617001478;825865.361;1024435.106;-75.64709492;4.815358149
163;6631802859;806763.8343;1080766.52;-75.82058303;5.324106263
164;6631802214;807901.0048;1079848.709;-75.81030522;5.315839336
165;6631800505;805622.1803;1079210.428;-75.83083819;5.310012063
166;6631800514;805560.7758;1077715.698;-75.83135375;5.296500142
167;6631800066;808182.4028;1081388.739;-75.80780662;5.329766426
168;6631800185;809340.8131;1081320.167;-75.7973586;5.329175909
169;6631801246;811091.7464;1079055.867;-75.78151266;5.308753086
170;6631800751;806126.1879;1075213.752;-75.82619189;5.273900265
171;6631802667;811232.0203;1076803.553;-75.78019197;5.288398132
172;6631800777;807680.8134;1080538.795;-75.81230828;5.322071264
173;6631802862;806797.5898;1080759.833;-75.82027847;5.324046683
174;6631800393;805062.2337;1079223.708;-75.83588776;5.310117737
175;6631800757;806207.0124;1075879.986;-75.82547997;5.279924198
176;6631801270;811943.5815;1078536.649;-75.77381833;5.304081057
177;6631800573;805839.4591;1075277.779;-75.8287789;5.274471706
178;6631800919;806427.1272;1078269.09;-75.82355575;5.301524167
179;6631802799;807274.4783;1079123.788;-75.81593657;5.309271076
180;6631803377;805972.6959;1075196.783;-75.82757547;5.273742993
181;6631802246;808027.8389;1078514.114;-75.80912782;5.303779464
182;6631802839;807178.6589;1080837.717;-75.81684411;5.324760369
183;6631800877;807555.7236;1078286.647;-75.81337931;5.301711509
184;6631803026;803895.2698;1079929.189;-75.84642883;5.316464225
185;6631800663;804554.8684;1077392.905;-75.84041589;5.293556775
186;6631801254;811060.5085;1078699.008;-75.78178549;5.305526699
187;6631800854;806952.8014;1078542.468;-75.81882253;5.304008518
188;6631801917;805951.0861;1078286.521;-75.82784878;5.301669586
189;6631800315;803958.1082;1080138.906;-75.84586761;5.318361394
190;6631803114;807489.9296;1077440.789;-75.81395124;5.294064353
191;6631800317;803951.0646;1079891.822;-75.84592475;5.316127924
192;6631800301;804933.3433;1079946.989;-75.83706857;5.316651891
193;6631800111;806939.2043;1080584.734;-75.81899699;5.322467626
194;6631801911;804786.4647;1079151.207;-75.83837261;5.309455342
195;6631802959;812515.3384;1079029.043;-75.7686746;5.30854591
196;6631801523;806714.9922;1082181.578;-75.82105955;5.336895296
197;6631800103;807133.773;1081104.778;-75.81725566;5.327173114
198;6631802574;812287.8515;1079495.211;-75.7707375;5.312753956
199;6631801395;811464.4537;1077245.764;-75.77810697;5.292400991
200;6631802787;805964.5915;1079002.673;-75.82774525;5.308142993
201;6631800293;804541.501;1080159.974;-75.84060745;5.318566887
202;6631800807;807631.2653;1079895.566;-75.81273879;5.316256026
203;6631803042;804145.5152;1080238.148;-75.84418024;5.319263247
204;6631801887;805590.9825;1078817.577;-75.83110948;5.306460419
205;6631800916;806524.9384;1078335.664;-75.82267545;5.302128399
206;6631800382;803892.822;1080073.5;-75.84645463;5.317768528
207;6631801271;812279.557;1078720.581;-75.77079319;5.305751915
208;6631801846;805699.4586;1079187;-75.83014075;5.309802283
209;6631800490;805237.4558;1078501.718;-75.83428926;5.303596428
210;6631800499;805167.3931;1078658.273;-75.83492504;5.305009676
211;6638301650;788302.549;1044139.274;-75.98606265;4.992578918
212;6638300609;784869.0514;1040901.93;-76.01691967;4.963229742
213;6638300390;783276.7031;1042018.009;-76.03129882;4.973274236
214;6638301796;787127.4545;1042682.944;-75.99661446;4.979385864
215;6638301460;783363.8098;1042062.811;-76.03051505;4.973681472
216;6644001432;815952.5442;1034677.985;-75.73664742;4.907733877
217;6644000444;815017.5068;1033849.477;-75.74505555;4.90022385
218;6644001752;814727.1221;1040539.716;-75.74782362;4.960691434
219;6644001444;817037.7371;1041233.917;-75.72701388;4.967018823
220;6644000576;816987.0587;1040392.634;-75.72745175;4.959413121
221;6644000662;815064.9653;1036725.972;-75.74469247;4.926226059
222;6644000575;817111.3978;1040633.607;-75.7263365;4.961594134
223;6644000742;813082.3335;1033128.295;-75.76247902;4.893661288
224;6644000299;816235.3885;1034054.245;-75.73408448;4.902102081
225;6644001263;814708.5154;1046670.156;-75.74813144;5.016104909
226;6644000655;815468.4553;1037342.905;-75.74106993;4.931811738
227;6644000800;817043.1644;1042930.177;-75.72700314;4.982351847
228;6644002025;820113.3469;1032565.33;-75.69910313;4.88872892
229;6644000075;820484.7397;1032885.166;-75.69576304;4.891628138
230;6644000552;812604.0731;1031810.897;-75.7667592;4.881742361
231;6644000381;816724.0435;1037599.907;-75.72975968;4.934163082
232;6644000909;815273.283;1039462.015;-75.74287675;4.950962339
233;6644000522;813011.6744;1031933.235;-75.76308878;4.882857423
234;6644000485;813279.4012;1033236.871;-75.76070552;4.894647186
235;6644000259;816944.6732;1034014.508;-75.72769143;4.901758702
236;6644001488;812616.5422;1034098.307;-75.76669868;4.902418722
237;6644001767;814713.7184;1042405.504;-75.7479869;4.977556256
238;6644001395;816478.2447;1033876.488;-75.73189187;4.900500715
239;6644000269;816795.2942;1033813.125;-75.72903318;4.899935026
240;6644001399;816295.8386;1033384.252;-75.73352478;4.89604721
241;6644000530;813226.5099;1031312.146;-75.76113874;4.877248194
242;6644001486;813036.9626;1033833.117;-75.76290385;4.900031212
243;6644001148;813791.5673;1042316.552;-75.75629626;4.976731065
244;6644000305;816189.4465;1033595.471;-75.73448829;4.897954093
245;6645600289;799625.6442;1080200.481;-75.8849364;5.318804635
246;6645600642;800284.0658;1080405.197;-75.87900464;5.320672323
247;6645602402;799277.9379;1080075.538;-75.88806845;5.317666153
248;6645600771;799613.7489;1077540.961;-75.88497367;5.294766545
249;6645600841;798668.5305;1076532.563;-75.89346999;5.285627353
250;6645601937;798589.668;1073605.274;-75.89410414;5.2591674
251;6645600419;800342.1098;1080268.471;-75.87847765;5.319438066
252;6645600770;799312.2033;1077490.836;-75.88769135;5.294305554
253;6645601150;802227.8486;1075797.6;-75.8613574;5.279077512
254;6645602216;799596.8316;1080485.243;-75.88520373;5.321377662
255;6645601017;801640.795;1078049.858;-75.8667092;5.299419285
256;6645601862;801601.1648;1078097.348;-75.86706778;5.299847489
257;6657200556;788587.1739;1075391.043;-75.98433663;5.275037642
258;6657200274;790617.1764;1081682.461;-75.96620677;5.331955203
259;6657200823;784560.8641;1080309.124;-76.02077665;5.319373273
260;6657201021;787564.3688;1076073.442;-75.99357723;5.28117669
261;6657201095;782752.8704;1076245.039;-76.03696256;5.282592099
262;6657201116;785673.2287;1075842.352;-76.01062141;5.279035294
263;6657200140;783353.8939;1082762.093;-76.03172939;5.34150786
264;6657200511;785719.6054;1075823.274;-76.01020274;5.278864173
265;6657201154;786112.2383;1075819.248;-76.00666265;5.278838794
266;6657201025;786720.1996;1075821.734;-76.00118132;5.278878265
