,SICA,EPSG:3116_X,EPSG:3116_Y,EPSG:4326_X,EPSG:4326_Y,Category
108,6604500729,796572.8692,1059643.515,-75.9119230069,5.13292380066,3
109,6604502153,793988.6891,1052437.706,-75.9350304812,5.06772895628,4
110,6604502552,793657.8069,1052450.803,-75.938013191,5.0678387552,4
111,6604500730,796364.2231,1059533.754,-75.9138009933,5.13192634216,4
112,6604501300,790175.441,1062987.418,-75.9696805569,5.16297771291,3
113,6604502299,795747.2653,1055067.376,-75.9192471413,5.0915419913,3
114,6604502270,793645.5879,1052667.353,-75.9381289277,5.06979565758,4
115,6604501277,789741.0495,1056451.519,-75.9734218918,5.10389467755,3
116,6604500652,792986.1992,1057681.933,-75.944203016,5.11510104209,3
117,6604502001,788961.3515,1060661.84,-75.9805624402,5.14192655882,3
118,6607500099,791369.4334,1040890.634,-75.9583399233,4.96329716583,3
119,6607500426,792021.3833,1038675.461,-75.9524082156,4.94329282773,4
120,6608802559,800203.1266,1063923.786,-75.8793070177,5.17170404778,3
121,6608800287,799944.3515,1070971.028,-75.8818214218,5.23539344962,4
122,6608800176,798900.6754,1070823.997,-75.8912273844,5.23403734176,4
123,6608802782,803308.076,1064825.091,-75.8513379546,5.17992953932,4
124,6608801778,803287.8759,1064852.187,-75.8515207495,5.18017393848,3
125,6608801541,802424.8595,1070270.552,-75.8594390252,5.22912621747,4
126,6608800853,800183.4166,1069415.81,-75.8796257993,5.22134291509,3
127,6608803018,804292.99,1074350.43,-75.8426994663,5.26605031705,4
128,6608803457,807165.5091,1066994.975,-75.8166150795,5.19963912852,4
129,6608802145,802986.1859,1062284.005,-75.8541759037,5.15695358468,4
130,6608800800,800404.0797,1070058.885,-75.8776529265,5.22716102351,3
131,6608801009,800271.4525,1064803.637,-75.8787135523,5.17965829502,3
132,6608801319,799820.8429,1060963.844,-75.8826777419,5.14494097375,4
133,6608803986,804437.9244,1074733.555,-75.841402408,5.26951694081,4
134,6608803003,804462.6342,1074583.872,-75.8411757904,5.26816464518,3
135,6608801637,803755.488,1067051.053,-75.8473604484,5.20006043428,3
136,6608800488,797524.1362,1065631.702,-75.9035026346,5.18707163879,3
137,6608800832,799641.3837,1069609.083,-75.8845176793,5.22307575019,4
138,6608801400,800545.9652,1067196.671,-75.8763000435,5.20129469075,4
139,6608804014,801204.3705,1062285.438,-75.870239031,5.15692143139,4
140,6608802394,806064.7193,1074071.646,-75.8267172622,5.26357556658,3
141,6608801987,805455.9925,1068460.38,-75.8320644692,5.21284174789,3
142,6608800182,799343.1996,1071957.316,-75.8872670782,5.24429227024,3
143,6608803808,801791.1125,1061873.96,-75.8649391579,5.15321717197,4
144,6608801028,801314.6802,1063198.523,-75.8692677552,5.16517716281,4
145,6608802732,802431.1798,1068727.699,-75.8593426539,5.2151812396,4
146,6608800987,801994.1318,1065040.623,-75.8631891093,5.18184431572,4
147,6608801031,801861.9377,1063483.123,-75.8643413774,5.16776344032,4
148,6617001207,825253.9919,1026439.297,-75.652645942,4.83346252492,4
149,6617001065,820940.9538,1031980.59,-75.6916319883,4.88346121414,4
150,6617000366,825644.906,1030268.986,-75.6492032635,4.86808964002,3
151,6617001133,819857.0145,1028105.756,-75.7013165216,4.84841151965,4
152,6617001025,825033.6767,1022784.996,-75.6545551933,4.8004244657,4
153,6617000958,826157.8009,1023704.46,-75.6444445274,4.80875943918,3
154,6617001185,826350.9674,1026654.355,-75.6427649108,4.83542947861,3
155,6617000866,824834.0889,1025489.254,-75.656410057,4.82486571566,3
156,6617000282,820485.8,1030835.894,-75.6957090748,4.87310395803,4
157,6617000242,820873.6301,1029259.413,-75.6921800125,4.85886187783,4
158,6617000957,826547.8437,1023620.315,-75.640928005,4.80800687271,4
159,6617001313,825913.2062,1022447.623,-75.6466226599,4.79739300553,4
160,6617000852,825930.1214,1025777.345,-75.6465391857,4.82749285277,3
161,6617000738,825746.5271,1026765.139,-75.6482142087,4.83641831736,4
162,6617001478,825865.361,1024435.106,-75.6470949177,4.81535814888,4
163,6631802859,806763.8343,1080766.52,-75.8205830293,5.32410626282,4
164,6631802214,807901.0048,1079848.709,-75.8103052212,5.31583933627,4
165,6631800505,805622.1803,1079210.428,-75.8308381917,5.31001206253,3
166,6631800514,805560.7758,1077715.698,-75.8313537521,5.29650014184,3
167,6631800066,808182.4028,1081388.739,-75.8078066183,5.32976642568,3
168,6631800185,809340.8131,1081320.167,-75.7973586009,5.32917590856,4
169,6631801246,811091.7464,1079055.867,-75.7815126581,5.30875308621,4
170,6631800751,806126.1879,1075213.752,-75.8261918881,5.27390026476,4
171,6631802667,811232.0203,1076803.553,-75.7801919726,5.28839813152,3
172,6631800777,807680.8134,1080538.795,-75.8123082772,5.32207126433,4
173,6631802862,806797.5898,1080759.833,-75.820278465,5.3240466825,3
174,6631800393,805062.2337,1079223.708,-75.8358877648,5.31011773718,3
175,6631800757,806207.0124,1075879.986,-75.8254799655,5.27992419758,3
176,6631801270,811943.5815,1078536.649,-75.7738183303,5.30408105718,4
177,6631800573,805839.4591,1075277.779,-75.828778902,5.27447170592,3
178,6631800919,806427.1272,1078269.09,-75.8235557542,5.30152416706,4
179,6631802799,807274.4783,1079123.788,-75.8159365725,5.30927107565,4
180,6631803377,805972.6959,1075196.783,-75.8275754736,5.27374299257,3
181,6631802246,808027.8389,1078514.114,-75.8091278193,5.30377946438,3
182,6631802839,807178.6589,1080837.717,-75.8168441066,5.32476036879,4
183,6631800877,807555.7236,1078286.647,-75.8133793095,5.30171150911,3
184,6631803026,803895.2698,1079929.189,-75.8464288337,5.3164642254,3
185,6631800663,804554.8684,1077392.905,-75.8404158912,5.29355677548,3
186,6631801254,811060.5085,1078699.008,-75.7817854919,5.30552669931,3
187,6631800854,806952.8014,1078542.468,-75.8188225273,5.30400851782,3
188,6631801917,805951.0861,1078286.521,-75.8278487848,5.30166958594,3
189,6631800315,803958.1082,1080138.906,-75.8458676068,5.31836139423,3
190,6631803114,807489.9296,1077440.789,-75.8139512446,5.29406435265,4
191,6631800317,803951.0646,1079891.822,-75.845924747,5.31612792369,4
192,6631800301,804933.3433,1079946.989,-75.8370685663,5.31665189115,4
193,6631800111,806939.2043,1080584.734,-75.8189969856,5.32246762611,4
194,6631801911,804786.4647,1079151.207,-75.838372605,5.3094553416,4
195,6631802959,812515.3384,1079029.043,-75.7686746035,5.3085459104,3
196,6631801523,806714.9922,1082181.578,-75.821059554,5.33689529613,3
197,6631800103,807133.773,1081104.778,-75.8172556612,5.32717311396,4
198,6631802574,812287.8515,1079495.211,-75.7707374977,5.31275395567,3
199,6631801395,811464.4537,1077245.764,-75.7781069686,5.29240099118,4
200,6631802787,805964.5915,1079002.673,-75.8277452474,5.30814299346,3
201,6631800293,804541.501,1080159.974,-75.8406074506,5.31856688687,3
202,6631800807,807631.2653,1079895.566,-75.8127387931,5.31625602633,3
203,6631803042,804145.5152,1080238.148,-75.8441802394,5.31926324679,3
204,6631801887,805590.9825,1078817.577,-75.8311094798,5.30646041922,3
205,6631800916,806524.9384,1078335.664,-75.8226754539,5.3021283988,3
206,6631800382,803892.822,1080073.5,-75.8464546307,5.31776852816,3
207,6631801271,812279.557,1078720.581,-75.7707931869,5.30575191462,3
208,6631801846,805699.4586,1079187.0,-75.8301407472,5.30980228319,3
209,6631800490,805237.4558,1078501.718,-75.8342892587,5.30359642765,3
210,6631800499,805167.3931,1078658.273,-75.8349250357,5.30500967578,3
211,6638301650,788302.549,1044139.274,-75.9860626458,4.99257891806,4
212,6638300609,784869.0514,1040901.93,-76.0169196658,4.96322974161,4
213,6638300390,783276.7031,1042018.009,-76.0312988235,4.97327423575,4
214,6638301796,787127.4545,1042682.944,-75.9966144617,4.97938586435,4
215,6638301460,783363.8098,1042062.811,-76.0305150465,4.97368147157,4
216,6644001432,815952.5442,1034677.985,-75.7366474222,4.90773387695,4
217,6644000444,815017.5068,1033849.477,-75.7450555494,4.90022384969,4
218,6644001752,814727.1221,1040539.716,-75.7478236174,4.96069143351,3
219,6644001444,817037.7371,1041233.917,-75.7270138803,4.96701882327,4
220,6644000576,816987.0587,1040392.634,-75.7274517496,4.95941312128,4
221,6644000662,815064.9653,1036725.972,-75.744692474,4.92622605898,4
222,6644000575,817111.3978,1040633.607,-75.7263364967,4.96159413354,4
223,6644000742,813082.3335,1033128.295,-75.7624790158,4.89366128812,4
224,6644000299,816235.3885,1034054.245,-75.7340844757,4.90210208072,3
225,6644001263,814708.5154,1046670.156,-75.7481314446,5.01610490936,4
226,6644000655,815468.4553,1037342.905,-75.7410699343,4.9318117382,3
227,6644000800,817043.1644,1042930.177,-75.7270031417,4.98235184663,4
228,6644002025,820113.3469,1032565.33,-75.6991031255,4.88872891952,4
229,6644000075,820484.7397,1032885.166,-75.695763036,4.89162813754,3
230,6644000552,812604.0731,1031810.897,-75.7667592015,4.88174236074,4
231,6644000381,816724.0435,1037599.907,-75.7297596755,4.93416308203,4
232,6644000909,815273.283,1039462.015,-75.7428767509,4.95096233931,3
233,6644000522,813011.6744,1031933.235,-75.7630887804,4.88285742257,4
234,6644000485,813279.4012,1033236.871,-75.7607055187,4.89464718587,4
235,6644000259,816944.6732,1034014.508,-75.7276914256,4.90175870232,4
236,6644001488,812616.5422,1034098.307,-75.7666986754,4.90241872239,3
237,6644001767,814713.7184,1042405.504,-75.7479869025,4.97755625595,4
238,6644001395,816478.2447,1033876.488,-75.7318918723,4.90050071472,3
239,6644000269,816795.2942,1033813.125,-75.7290331797,4.89993502563,3
240,6644001399,816295.8386,1033384.252,-75.7335247839,4.89604720983,4
241,6644000530,813226.5099,1031312.146,-75.7611387449,4.87724819363,3
242,6644001486,813036.9626,1033833.117,-75.7629038465,4.90003121184,4
243,6644001148,813791.5673,1042316.552,-75.7562962621,4.97673106504,4
244,6644000305,816189.4465,1033595.471,-75.7344882942,4.89795409253,3
245,6645600289,799625.6442,1080200.481,-75.8849364042,5.3188046354,3
246,6645600642,800284.0658,1080405.197,-75.8790046444,5.32067232298,3
247,6645602402,799277.9379,1080075.538,-75.888068445,5.31766615339,3
248,6645600771,799613.7489,1077540.961,-75.8849736732,5.29476654526,4
249,6645600841,798668.5305,1076532.563,-75.8934699862,5.28562735313,4
250,6645601937,798589.668,1073605.274,-75.8941041399,5.25916739999,3
251,6645600419,800342.1098,1080268.471,-75.8784776511,5.3194380662,3
252,6645600770,799312.2033,1077490.836,-75.887691351,5.29430555378,3
253,6645601150,802227.8486,1075797.6,-75.8613574049,5.27907751162,4
254,6645602216,799596.8316,1080485.243,-75.8852037279,5.32137766185,4
255,6645601017,801640.795,1078049.858,-75.866709199,5.29941928519,4
256,6645601862,801601.1648,1078097.348,-75.8670677814,5.29984748907,3
257,6657200556,788587.1739,1075391.043,-75.9843366285,5.27503764243,3
258,6657200274,790617.1764,1081682.461,-75.9662067724,5.33195520348,4
259,6657200823,784560.8641,1080309.124,-76.0207766468,5.31937327348,4
260,6657201021,787564.3688,1076073.442,-75.9935772261,5.2811766904,4
261,6657201095,782752.8704,1076245.039,-76.0369625632,5.282592099,3
262,6657201116,785673.2287,1075842.352,-76.0106214063,5.27903529387,4
263,6657200140,783353.8939,1082762.093,-76.0317293949,5.34150785967,3
264,6657200511,785719.6054,1075823.274,-76.0102027402,5.27886417318,4
265,6657201154,786112.2383,1075819.248,-76.0066626481,5.27883879394,3
266,6657201025,786720.1996,1075821.734,-76.0011813218,5.27887826522,3
267,6657200967,786404.5897,1075969.386,-76.0040309919,5.28020389069,3
268,6657200897,787466.5476,1075394.67,-75.9944403508,5.27503934008,4
269,6657200470,782705.8612,1076743.429,-76.0374005566,5.28709500976,3
270,6657201087,783646.0035,1076039.3,-76.0289043238,5.2807580757,4
271,6657201100,781210.3085,1076218.026,-76.0508693215,5.2823039,3
272,6657201158,781317.4476,1072337.362,-76.0497928187,5.24723532523,4
273,6657200889,786602.6336,1075670.525,-76.0022370869,5.27750838564,3
274,6657201137,784236.6716,1074757.798,-76.0235428062,5.26919299149,4
275,6657201165,784046.1717,1074739.413,-76.0252597934,5.26902145928,4
276,6659404436,819320.7083,1083690.399,-75.7074164001,5.35084595972,4
277,6659401055,819669.6505,1083969.313,-75.7042761145,5.35337549085,3
278,6659405607,816105.4763,1079770.723,-75.7363177126,5.31533782862,3
279,6659403382,814454.3442,1080770.523,-75.7512317974,5.32433483228,3
280,6659408768,814842.5242,1081679.957,-75.7477534166,5.33256475036,4
281,6659402350,816770.3836,1080016.488,-75.7303275728,5.31757542465,4
282,6659403875,816211.4435,1080461.937,-75.7353788354,5.32158835292,4
283,6659400394,812792.8331,1081606.845,-75.7662358024,5.33185340776,4
284,6659403433,815204.3247,1080640.995,-75.7444653485,5.32318236504,4
285,6659400595,816172.8646,1081824.669,-75.7357597734,5.33390528719,4
286,6659401085,818993.8781,1084410.451,-75.7103812002,5.35734681288,3
287,6659405957,816697.3281,1080034.401,-75.7309868152,5.31773557621,4
288,6659405357,820738.871,1081041.178,-75.6945638532,5.32693278345,4
289,6659400292,813954.1536,1082058.627,-75.7557740999,5.33596573696,3
290,6659403477,813363.0375,1079631.821,-75.7610451367,5.31401529657,3
291,6659403440,814180.9614,1079345.784,-75.7536623009,5.31144988309,3
292,6659403668,812940.5452,1082248.177,-75.7649195774,5.33765404003,3
293,6659401143,818695.2889,1083766.947,-75.7130585956,5.35152286484,4
294,6659403648,813336.9889,1082335.01,-75.7613465564,5.33844873155,3
295,6659401496,819556.545,1081230.551,-75.7052308315,5.3286164685,4
296,6659402693,819551.507,1079031.624,-75.70522403,5.30873971658,3
297,6659402514,818545.1702,1080584.869,-75.7143361644,5.3227558274,3
298,6659406387,819048.506,1078976.618,-75.7097587441,5.30823053411,4
299,6659401195,818519.1536,1082894.398,-75.7146261135,5.34363148633,4
300,6659401526,819477.9374,1080505.964,-75.7059224905,5.32206487984,3
301,6659408706,812587.2294,1082145.1,-75.7681032514,5.33671357226,4
302,6659402522,818618.5875,1080476.75,-75.713671497,5.32178027677,3
303,6659400468,817577.224,1084099.474,-75.723149895,5.35450162919,3
304,6659403391,814599.2462,1081360.074,-75.7499394904,5.3296673541,3
305,6659400501,817632.4786,1083166.101,-75.7226290376,5.34606606656,3
306,6659402483,819027.62,1079144.177,-75.7099510764,5.30974463952,4
307,6659402085,816385.8646,1079830.854,-75.7337906547,5.31588815367,3
308,6668200096,825793.8702,1038645.733,-75.6480378036,4.94381531131,3
309,6668200226,825844.8834,1034898.896,-75.6474985238,4.90994646498,3
310,6668200827,831204.1986,1033198.824,-75.599161761,4.89469002054,3
311,6668200728,830304.2744,1036200.397,-75.6073342285,4.9218051083,4
312,6668200059,827316.1566,1038944.653,-75.6343236053,4.9465498193,3
313,6668200327,825412.4127,1037474.341,-75.6514509276,4.93321825463,4
314,6668201546,821407.6144,1036531.486,-75.6875249578,4.92460886069,3
315,6668201553,822053.2003,1034324.767,-75.6816588044,4.90467536696,3
316,6668200070,828225.7122,1040291.412,-75.6261539509,4.95874332489,4
317,6668200505,830761.3778,1032771.549,-75.6031439818,4.89081845185,4
318,6668200864,833460.3033,1033698.291,-75.5788383389,4.89925107422,3
319,6668200163,820011.6395,1038525.954,-75.7001501179,4.94260703393,4
320,6668201983,821812.7047,1032867.322,-75.6837947932,4.89149564887,3
321,6668200375,825844.1936,1036505.511,-75.6475387597,4.92446962365,3
322,6668200581,827019.3563,1034184.009,-75.6368984275,4.90350895217,3
323,6668202086,832683.5379,1032408.619,-75.5858130188,4.88757684003,3
324,6668200315,824028.076,1035875.644,-75.6638935206,4.91873708915,3
325,6668200232,823052.6154,1037110.656,-75.6727116015,4.92987998058,4
326,6668202049,827620.9778,1021590.176,-75.6312161532,4.78967712389,3
327,6668201355,833159.7619,1038104.683,-75.5816364651,4.93907828905,3
328,6668201356,833041.4662,1038149.619,-75.5827036137,4.93948208668,4
329,6668200651,829792.5753,1033874.226,-75.6118980574,4.90076645418,3
